"id","boxid","address","name","qrcode","serialnumber","status","modelnumber"
"27","73199388459","山东省临沂市兰山区凤凰城附近","皇家果汇","http://assets.mayihezi.com/prod/merchant/icon/201711/9163126669f5ea8ea8-1664-4f84-a6fd-4f493ef149dc.jpg","A1835 ","ONLINE","MA650A"
"28","73199388454","山东省临沂市兰山区顺和街 香港城1栋b","香港城1栋百货","http://assets.mayihezi.com/prod/merchant/icon/201711/716217285fa99ba7e-cb9d-42a0-a6be-2662b3ab49ac.jpg","A1830","ONLINE","MA-650A"
"29","73199388439","山东省临沂市河东区凤凰大街与东外环交汇处向北300米路东","荣威4S店","http://assets.mayihezi.com/prod/merchant/icon/201711/10112820431da77cf56-e32c-4afc-998f-94a2f09d17e5.jpg","A1815","ONLINE","MA650A"
"30","73199388433","山东省临沂市罗庄区沂河路圆通汽车超市","罗庄马自达","http://assets.mayihezi.com/prod/merchant/icon/201711/10113135205e639e27a-ddee-451d-afc9-609635435bbf.jpg","A1809","ONLINE","MA650A"
"31","73199388432","山东省临沂市兰山区兰陵路与府左路交叉口西北200米","大剧院A1808","http://assets.mayihezi.com/prod/merchant/icon/201711/9163240603715dfac8-0aaa-4e6b-bcc7-45bf8dcbc2eb.jpg","A1808 ","ONLINE","MA650A"
"32","73199388425","山东省临沂市兰山区通达路与后什街","沣果季后什店","http://assets.mayihezi.com/prod/merchant/icon/201711/10113945217e822b74b-fbe5-46f2-95c4-7100e11c4f99.jpg","A1801","ONLINE","MA650A"
"33","73199191797","山东省临沂市兰山区红旗路与通达路","城市风景6#自产","http://assets.mayihezi.com/prod/merchant/icon/201711/916211270640a9d535-05d2-4478-b7e1-f9defc0f6b14.jpg","A1781 ","ONLINE","MA650A"
"34","73199191796","山东省临沂市罗庄区临沂瑞鼎销售服务店","奔腾","http://assets.mayihezi.com/prod/merchant/icon/201711/9161014732f02476e-f051-4bdc-a681-dd8012bb5e86.jpg","A1780","ONLINE","MA650-A"
"35","73199191791","山东省临沂市兰山区临西五路与开阳路","台北新城","http://assets.mayihezi.com/prod/merchant/icon/201711/10125545657abac2af5-e88b-4434-929e-5959994a0215.jpg","A1775","ONLINE","MA650A"
"36","73199191786","山东省临沂市兰山区临西五路与开阳路","台北新城","http://assets.mayihezi.com/prod/merchant/icon/201711/10125552105b170a3b1-c3aa-44e0-92ab-bbb29c557803.jpg","A1770","ONLINE","MA650A"
"37","73199126246","山东省临沂市兰山区临西五路与北园路交汇","优卡空间","http://assets.mayihezi.com/prod/merchant/icon/201711/71312447a1b958b6-3ed2-431b-8423-66eb1a269977.jpg","A1766","ONLINE","MA650-A"
"38","73199126245","山东省临沂市兰山区沂蒙路与解放路交汇处北150米路西","移动营业厅","http://assets.mayihezi.com/prod/merchant/icon/201711/71557326c0ed0073-8cf6-4029-9c18-96a5bce1da4e.jpg","A1765","ONLINE","MA650-A"
"39","73199126216","山东省临沂市河东区广汽传祺","传祺","http://assets.mayihezi.com/prod/merchant/icon/201711/10102141974fbf67bff-f1d8-4166-aa40-c857000aef9e.jpg","A1736","ONLINE","MA650A"
"40","73184052802","山东省临沂市兰山区红旗路与通达路","城市风景 2#1单元百货","http://assets.mayihezi.com/prod/merchant/icon/201711/215248810d5d0877-9b3e-4489-800a-f51df95de507.jpg","A1602","ONLINE","MA650-A"
"41","73183856075","山东省临沂市兰山区金一路54号","五洲医院","http://assets.mayihezi.com/prod/merchant/icon/201710/3010397649d19f09db-54d7-496c-8a5c-85b510516e23.jpg","A1483","ONLINE","MA650-A"
"42","73183790514","山东省临沂市兰山区临西五路与北园路交汇","优卡空间 A1458","http://assets.mayihezi.com/prod/merchant/icon/201710/271363157706bafdda-d60e-4a36-ad81-be6a8fc91c29.jpg","A1458","ONLINE","MA650-A"
"43","73183790506","山东省临沂市兰山区聚才六路妇幼保健院","山东医专第一附属医院（2）北边","http://assets.mayihezi.com/prod/merchant/icon/201710/271031308248305fc87-9860-489d-9a1e-0625a3e558cb.jpg","A1450","ONLINE","MA650-A"
